Difference (Minutes),1,,Difference (Minutes),1
Enc_Transit_Date__3/15/2020,-0.001256066,,Enc_Day_of_Week__5008,0.010104463
Enc_Transit_Date__3/16/2020,-0.005711869,,Enc_Stop_Sequence__10810,0.010026784
Enc_Transit_Date__3/17/2020,-0.001274038,,Enc_Day_of_Week__3178,0.009860882
Enc_Transit_Date__3/18/2020,-0.010362556,,Enc_Actual_Hour_Depart__14,0.009715727
Enc_Transit_Date__3/19/2020,-0.005690793,,Enc_Day_of_Week__3824,0.009608497
Enc_Transit_Date__3/20/2020,-0.005557839,,Enc_Day_of_Week__4793,0.009525373
Enc_Transit_Date__3/21/2020,-0.006696904,,Enc_Transit_Date__12/5/2020,0.009391871
Enc_Transit_Date__3/23/2020,-0.009775697,,Enc_Day_of_Week__4571,0.009383456
Enc_Transit_Date__3/24/2020,-0.005449741,,Enc_Stop_Sequence__10280,0.009350299
Enc_Transit_Date__3/25/2020,-0.013019524,,Enc_Transit_Date__3/4/2020,0.009330914
Enc_Transit_Date__3/26/2020,-0.009323768,,Enc_Transit_Date__10/30/2020,0.009329877
Enc_Transit_Date__3/27/2020,-0.010793349,,Enc_Day_of_Week__4553,0.009327019
Enc_Transit_Date__3/28/2020,-0.005132583,,Enc_Stop_ID__2.928,0.009319483
Enc_Transit_Date__3/29/2020,-0.006817863,,Enc_Day_of_Week__5035,0.009263795
Enc_Transit_Date__3/3/2020,0.032912697,,Enc_Day_of_Week__3282,0.009241665
Enc_Transit_Date__3/30/2020,-0.007743934,,Enc_Day_of_Week__4660,0.009236892
Enc_Transit_Date__3/31/2020,-0.008670515,,Enc_Day_of_Week__4924,0.009227437
Enc_Transit_Date__3/4/2020,0.009330914,,Enc_Transit_Date__1/3/2020,0.009028156
Enc_Transit_Date__3/5/2020,0.027535231,,Enc_Stop_Sequence__10606,0.00901094
Enc_Transit_Date__3/6/2020,0.049112675,,Enc_Stop_Sequence__10705,0.008933733
Enc_Transit_Date__3/7/2020,0.008787828,,Enc_Day_of_Week__5039,0.00891338
Enc_Transit_Date__3/8/2020,-0.000177391,,Enc_Transit_Date__3/7/2020,0.008787828
