Feature \ Route,187 2019,,,,,
Enc_Badge__4715.0,-0.005039276,,,,,
Enc_Badge__4716.0,-0.006112118,,,,,
Enc_Badge__4730.0,-0.022676929,,,,,
Enc_Badge__4732.0,-0.010282639,,,,,
Enc_Badge__4734.0,-0.011069677,,,,,
Enc_Badge__4736.0,0.004887697,,,,,
Enc_Badge__4737.0,-0.010344934,,,,,
Enc_Badge__4739.0,0.002035124,,,,,
Enc_Badge__4740.0,0.054388988,,,,,
Enc_Badge__4741.0,0.011211371,,,,,
Enc_Badge__4742.0,-0.000292206,,,,,
Enc_Badge__4744.0,0.002717844,,,,,
Enc_Badge__4745.0,-0.001164184,,,,,
Enc_Badge__4746.0,0.004292625,,,,,
Enc_Badge__4747.0,-0.000796445,,,,,
Enc_Badge__4748.0,-0.018653945,,,,,
Enc_Badge__4749.0,0.004195357,,,,,
Enc_Badge__4753.0,-0.020020684,,,,,
Enc_Badge__4755.0,-0.001055236,,,,,
Enc_Badge__4756.0,-0.004303769,,,,,
Enc_Badge__4763.0,-0.008826124,,,,,
Enc_Badge__4768.0,0.009352744,,,,,
Enc_Badge__4769.0,-0.006375621,,,,,
Enc_Badge__4774.0,-0.004208407,,,,,
Enc_Badge__4776.0,0.11203915,,,,,
Enc_Badge__4777.0,-0.012118554,,,,,
Enc_Badge__4784.0,-0.003552165,,,,,
Enc_Badge__4788.0,-0.019132003,,,,,
Enc_Badge__4791.0,-0.003071046,,,,,
Enc_Badge__4792.0,-0.009069948,,,,,
Enc_Badge__4793.0,-0.015931997,,,,,
Enc_Badge__4797.0,0.000634075,,,,,
Enc_Badge__4803.0,-0.008519197,,,,,
Enc_Badge__4804.0,0.001655114,,,,,
Enc_Badge__4810.0,0.011669748,,,,,
Enc_Badge__4811.0,-0.016936061,,,,,
Enc_Badge__4812.0,-0.034785864,,,,,
Enc_Badge__4813.0,-0.006220958,,,,,
Enc_Badge__4815.0,-0.019089718,,,,,
Enc_Badge__4816.0,-0.032083439,,,,,
Enc_Badge__4817.0,0.000258307,,,,,
Enc_Badge__4823.0,-0.009509914,,,,,
Enc_Badge__4824.0,0.002505003,,,,,
Enc_Badge__4826.0,0.005336527,,,,,
Enc_Badge__4827.0,-0.008291885,,,,,
Enc_Badge__4828.0,-0.002838034,,,,,
Enc_Badge__4829.0,-0.031398767,,,,,
Enc_Badge__4834.0,0.014012015,,,,,
Enc_Badge__4835.0,-0.003340006,,,,,
Enc_Badge__4840.0,-0.011287038,,,,,
Enc_Badge__4846.0,0.001328785,,,,,
Enc_Badge__4853.0,-0.023024606,,,,,
Enc_Badge__4854.0,0.014382446,,,,,
Enc_Badge__4859.0,0.060038837,,,,,
Enc_Badge__4862.0,-0.005430498,,,,,
Enc_Badge__4864.0,0.020017079,,,,,
Enc_Badge__4865.0,-0.013992185,,,,,
Enc_Badge__4866.0,0.007119125,,,,,
Enc_Badge__4867.0,-0.004915422,,,,,
Enc_Badge__4869.0,-0.042825202,,,,,
Enc_Badge__4870.0,-0.011066372,,,,,
Enc_Badge__4872.0,-0.0154003,,,,,
Enc_Badge__4874.0,-0.006256909,,,,,
Enc_Badge__4875.0,0.021125028,,,,,
Enc_Badge__4877.0,-0.001492345,,,,,
Enc_Badge__4878.0,-0.000260645,,,,,
Enc_Badge__4879.0,0.001097215,,,,,
Enc_Badge__4880.0,-0.006404309,,,,,
Enc_Badge__4881.0,0.016924753,,,,,
Enc_Badge__4882.0,-0.031910066,,,,,
Enc_Badge__4885.0,-0.001976842,,,,,
Enc_Badge__4888.0,-0.009264595,,,,,
Enc_Badge__4889.0,0.03292842,,,,,
Enc_Badge__4891.0,-0.000153093,,,,,
Enc_Badge__4892.0,-0.000798077,,,,,
Enc_Badge__4898.0,-0.003743508,,,,,
Enc_Badge__4899.0,0.004802335,,,,,
Enc_Badge__4902.0,-0.010721332,,,,,
Enc_Badge__4903.0,0.001307242,,,,,
Enc_Badge__4904.0,-0.017021261,,,,,
Enc_Badge__4905.0,0.001247226,,,,,
Enc_Badge__4906.0,-0.010248453,,,,,
Enc_Badge__4907.0,0.019375512,,,,,
Enc_Badge__4909.0,-0.014707409,,,,,
Enc_Badge__4910.0,0.005491451,,,,,
Enc_Badge__4911.0,0.001693793,,,,,
